,Name,Search_name,Exclude_entries
170,Bone Jam,bone jam,
171,Dicksons,dicksons,
172,Taj Mahal,taj mahal,
173,Lucky House,lucky house,
174,Flames,flames,
175,Selekt Chicken,selekt chicken,
176,Taste of China,taste of china,
177,Pizza Plus,pizza plus,
178,K-Bird,k-bird,
179,Caffe Nero,caffe nero,
180,Pizza Palace,pizza palace,
181,Slim Chickens,slim chickens,
182,Super Pizza,super pizza,
183,Sunny & Fine's Breakfast Burritos,sunny & fine's breakfast burritos,
184,Carluccio's,carluccio's,
185,Tasty Bites,tasty bites,
186,Chicken Express,chicken express,
187,Spielburger,spielburger,
188,Chicken Valley,chicken valley,
189,Mooboo Bubble Tea,mooboo bubble tea,
190,Saffron,saffron,
191,PAUL,paul,
192,China Express,china express,
193,Pizza Gogo,pizza gogo,
194,Chickwich,chickwich,
195,Indian Ocean,indian ocean,
196,Perfect Fried Chicken,perfect fried chicken,
197,Coughlans Bakery,coughlans bakery,
198,HONEST BURGERS,honest burgers,
199,Killer Wings,killer wings,
200,Mother Clucker,mother clucker,
201,Wanna Waffle,wanna waffle,
202,The Grill,the grill,
203,Basilico,basilico,
204,Bella Pizza,bella pizza,
205,Chiquito,chiquito,
206,Spar,spar,
207,The Real Greek,the real greek,
208,Wingstop,wingstop,
209,Pizza 2 Night,pizza 2 night,
210,Istanbul Grill,istanbul grill,
211,Auntie Anne's,auntie anne's,
212,Sbarro,sbarro,
213,King Kebab,king kebab,
214,Creams Bubble Tea,creams bubble tea,
215,Chicken Hut,chicken hut,
216,Budgens,budgens,
217,Happy House,happy house,
218,Best One,best one,
219,Byron Burgers,byron burgers,
220,Breakfast Beauties,breakfast beauties,
221,Stonehouse Pizza & Carvery,stonehouse pizza & carvery,
222,Hot Chx Nashville Hot Chicken,hot chx nashville hot chicken,
223,Browns,browns,
224,Out the Box,out the box,
225,Le Burger by Café Rouge,le burger by café rouge,
226,Caspian Pizza,caspian pizza,
227,Kebabish,kebabish,
228,Pizza Pan,pizza pan,
229,Chatime,chatime,
230,Daddy's Dim Sum,daddy's dim sum,
231,Top Chef,top chef,
232,Magic Wok,magic wok,
233,The Raj,the raj,
234,Ole & Steen,ole & steen,
235,Cinnamon,cinnamon,
236,Peking Chef,peking chef,
237,Indian Kitchen,indian kitchen,
238,Boston Tea Party,boston tea party,
239,Little India,little india,
240,Boost Juice Bars,boost juice bars,
241,Oriental Express,oriental express,
242,Sizzlers,sizzlers,
243,China Town,china town,
244,Burgerstein,burgerstein,
245,Panku - Sushi Kiosk,panku - sushi kiosk,
246,Chesters,chesters,
247,Neighbourhood Burgers,neighbourhood burgers,
248,Rio's Piri Piri,rio's piri piri,
249,The Fat Burger and Desserts,the fat burger and desserts,
250,Harry Ramsden,harry ramsden,
251,Tim Hortons,tim hortons,
252,TGF Pizza,tgf pizza,
253,China Chef,china chef,
254,Napoli Pizza,napoli pizza,
255,Pizza Hot,pizza hot,
256,Wicked Wings,wicked wings,
257,Wicked Burgers,wicked burgers,
258,Pizza Pizza,pizza pizza,
259,Star Pizza,star pizza,
260,Deep Blue - Fish & Chips,deep blue - fish & chips,
261,Herbies Pizza,herbies pizza,
262,Revolution,revolution,
263,Royal Spice,royal spice,
264,Pure - Breakfast,pure - breakfast,
265,Chicken Society,chicken society,
266,Holy Bagel,holy bagel,
267,Great Wall,great wall,
268,Pizza Roma,pizza roma,
269,Out Fry - Korean Fried Chicken by Taster,out fry - korean fried chicken by taster,
270,DUNKIN' - Coffee & Donuts,dunkin' - coffee & donuts,
271,Le Pain Quotidien,le pain quotidien,
272,The Breakfast Club,the breakfast club,
273,Veggie Master,veggie master,
274,Istanbul Kebab,istanbul kebab,
275,Drinks Central,drinks central,
276,Village Pizza,village pizza,
277,Turkish Delight,turkish delight,
278,Sammies (Sandwiches & Burrito Bowls),sammies (sandwiches & burrito bowls),
279,Bubbleology,bubbleology,
280,Veg Heads,veg heads,
281,Fortune House,fortune house,
282,Morrisons Market Kitchen,morrisons market kitchen,
283,Chunky Chicken,chunky chicken,
284,Firezza,firezza,
285,Desserts 2 Night,desserts 2 night,
286,Frydays,frydays,
287,Mr Chips,mr chips,
288,Grill House,grill house,
289,Peri Peri Original,peri peri original,
290,Spice of India,spice of india,
291,EggsQuisite,eggsquisite,
292,Jade Garden,jade garden,
293,Oriental Chef,oriental chef,
294,YO! - Sushi Kiosk,yo! - sushi kiosk,
295,Mac Shack by Bella Italia,mac shack by bella italia,
296,Cuban Sandwich Shop,cuban sandwich shop,
297,Cakebox,cakebox,
298,Planet Pizza,planet pizza,
299,Super Smash,super smash,
300,Island Poké,island poké,
301,Sticks'n'Sushi,sticks'n'sushi,
302,Wraps & Wings,wraps & wings,
303,Creams Cafe,creams cafe,
304,Brooklyn Calzone,brooklyn calzone,
305,Istanbul Restaurant,istanbul restaurant,
306,Bagel Factory,bagel factory,
307,KOOX - Organic Juices,koox - organic juices,
308,Burger Goddess,burger goddess,
309,Bombay Spice,bombay spice,
310,Tariq Halal Meats,tariq halal meats,
311,The Chippy,the chippy,
312,TRIP CBD Store,trip cbd store,
313,Golden Fry,golden fry,
314,Gail's,gail's,
315,Chicken City,chicken city,
316,Masala,masala,
317,Snog Frozen Yogurt,snog frozen yogurt,
318,The Cafe,the cafe,
319,Dishoom,dishoom,
320,Little Moons Mochi Ice Cream,little moons mochi ice cream,
321,Subway (High Street),subway (high street),
322,Comptoir Libanais,comptoir libanais,
323,Oh My Cod,oh my cod,
324,Melts By Café Rouge,melts by café rouge,
325,Pizza Hot 4 You,pizza hot 4 you,
326,ASK Italian,ask italian,
327,The Codfather,the codfather,
328,Chicken Land,chicken land,
329,Good Times Chicken,good times chicken,
330,Spice Garden,spice garden,
331,Fireaway,fireaway,
332,Morleys,morleys,
333,Brekkie Bagels,brekkie bagels,
334,Piccolino,piccolino,
335,Wok to Walk,wok to walk,
336,Holy Cow! Vegan Indian,holy cow! vegan indian,
337,Cake Box,cake box,
338,A Burgers - Dirty Vegan Burgers 🌱 by Taster,a burgers - dirty vegan burgers 🌱 by taster,
339,Iro Sushi,iro sushi,
340,Gaucho,gaucho,
341,Chicago Pizza,chicago pizza,
342,Morley's Fried Chicken,morley's fried chicken,
343,Pizza Corner,pizza corner,
344,Prego - Italian Pizza & Pasta,prego - italian pizza & pasta,
345,Chop and Wok,chop and wok,
346,Planet Organic,planet organic,
347,Crussh,crussh,
348,Kebab House,kebab house,
349,China House,china house,
350,Sprinkles Gelato,sprinkles gelato,
351,World of Wings,world of wings,
352,Coffee & Stuff,coffee & stuff,
353,China Palace,china palace,
354,Curry Leaf,curry leaf,
