Strategic_name,Search_name,Exclude_entries
Burger King,burger king,
KFC,kfc,⚡️Korean Gangnam Style KFC⚡️' 'Korean Gangnam Style KFC' 'Gangnam Style KFC - Korean Fried Chicken' 'UK Fried Chicken ( UKFC )
Papa John's,papa john,
Pizza Hut,pizza hut,
PIZZAEXPRESS,pizzaexpress,
Subway,subway,
McDonald's® ,mcdonald,
