,Name,Search_name,Exclude_entries
4082,Pick A Pizza,pick a pizza,
4083,ChiNi Restaurant,chini restaurant,
4084,Hoy's,hoy's,
4085,Indian Takeaway,indian takeaway,
4086,The Delight,the delight,
4087,Indian Temptation,indian temptation,
4088,Burger & Lobster,burger & lobster,
4089,Juicy Roots,juicy roots,
4090,Novellino Bistro,novellino bistro,
4091,Burger Blast,burger blast,
4092,Burger Bites & Grill,burger bites & grill,
4093,Burger Beats,burger beats,
4094,Julie's Cafe,julie's cafe,
4095,Noura,noura,
4096,Burger Amour - Restaurant Quality Food At Home,burger amour - restaurant quality food at home,
4097,The New Delhi,the new delhi,
4098,Jumbo Chinese Takeaway,jumbo chinese takeaway,
4099,Jun Ming Xuan 駿茗軒,jun ming xuan 駿茗軒,
4100,Bunz & Shakez,bunz & shakez,
4101,Notorious V.E.G,notorious v.e.g,
4102,Notorious B.R.G,notorious b.r.g,
4103,Burga,burga,
4104,Burg:r,burg:r,
4105,Notes Coffee,notes coffee,
4106,Not Just Desserts,not just desserts,
4107,The New Soho Tavern,the new soho tavern,
4108,Buono Pizzeria,buono pizzeria,
4109,The New Sundial,the new sundial,
4110,Power Bowls,power bowls,
4111,Burger Bunny,burger bunny,
4112,Burger Buzz,burger buzz,
4113,Subway (Huddersfield Road),subway (huddersfield road),
4114,Burger City,burger city,
4115,Nusa Kitchen,nusa kitchen,
4116,Nurrish,nurrish,
4117,The Mogul Restaurant,the mogul restaurant,
4118,Juana Tacos,juana tacos,
4119,Jubilee Junction,jubilee junction,
4120,Jubo Raj,jubo raj,
4121,Subway (Market Place),subway (market place),
4122,Burger Guys,burger guys,
4123,The Mozzarella Park,the mozzarella park,
4124,The Mulberry,the mulberry,
4125,Subway (London Road),subway (london road),
4126,Burger Eats,burger eats,
4127,The Munch King,the munch king,
4128,Nue Ground Cafe,nue ground cafe,
4129,Juicebaby,juicebaby,
4130,Juiced,juiced,
4131,Nu To Go,nu to go,
4132,Burger Drop,burger drop,
4133,Nu Nosh,nu nosh,
4134,Burger Daddy,burger daddy,
4135,Burger Club,burger club,
4136,The New Viceroy,the new viceroy,
4137,Buns Burgers,buns burgers,
4138,Poultry Barn Wing Stop,poultry barn wing stop,
4139,Buffalo,buffalo,
4140,Just Wings,just wings,
4141,The Oldswinford Tandoori,the oldswinford tandoori,
4142,The Olive,the olive,
4143,The Olive Branch,the olive branch,
4144,North Cafe,north cafe,
4145,Buffet City,buffet city,
4146,K Kitchen,k kitchen,
4147,Buffalo Grill,buffalo grill,
4148,Buffalo Chicken,buffalo chicken,
4149,The Orchard,the orchard,
4150,Buff Wings Co,buff wings co,
4151,The Nutrition Bar,the nutrition bar,
4152,The Oriental Halal,the oriental halal,
4153,K's Spice African Restaurant,k's spice african restaurant,
4154,Premier Chicken,premier chicken,
4155,The Original Famous Blue Star,the original famous blue star,
4156,K-Food,k-food,
4157,The Original Gourmet Burger Co,the original gourmet burger co,
4158,Nook,nook,
4159,Noodlestop,noodlestop,
4160,Subway  - High Street,subway  - high street,
4161,K2 Kebab & Grill,k2 kebab & grill,
4162,Bulls Burger,bulls burger,
4163,Bulls Street Burgers,bulls street burgers,
4164,North Sea Fish Bar,north sea fish bar,
4165,Just So Italian,just so italian,
4166,The Oak,the oak,
4167,Buns & Wings,buns & wings,
4168,Buns,buns,
4169,Just Chicken,just chicken,
4170,Subway (Cardiff Road),subway (cardiff road),
4171,Bund Cafe,bund cafe,
4172,Just Delicious,just delicious,
4173,BunBunBun Vietnamese,bunbunbun vietnamese,
4174,The Old Bakery,the old bakery,
4175,The Old Bank,the old bank,
4176,Preem,preem,
4177,Just Gourmet,just gourmet,
4178,Just Hot Pizza,just hot pizza,
4179,Preferred Pizza,preferred pizza,
4180,Bun N Roll,bun n roll,
4181,Just Kebab,just kebab,
4182,Bun House,bun house,
4183,Just Munch,just munch,
4184,Bun & Shake,bun & shake,
4185,Just Pizza UK.com,just pizza uk.com,
4186,Bun & Base,bun & base,
4187,Joyce's Convenience Store,joyce's convenience store,
4188,Burger King - Brentwood,burger king - brentwood,
4189,The Palace,the palace,
4190,Subway - Brownlow Hill,subway - brownlow hill,
4191,Oatopia,oatopia,
4192,Poppadoms,poppadoms,
4193,Burgers Bros,burgers bros,
