,Name,Search_name,Exclude_entries
0,Ed's Easy Diner,ed's easy diner,
1,Ciao Maria Pizza,ciao maria pizza,
2,Mama's Rice Chinese Takeaway,mama's rice chinese takeaway,
3,Ichiban Don,ichiban don,
4,UK Pizza,uk pizza,
5,Biff's Vegan Burgers & Wingz,biff's vegan burgers & wingz,
6,Kaspa's Desserts,kaspa's desserts,
7,Jungle Grill,jungle grill,
8,Smoky Boys,smoky boys,
9,Milano Express,milano express,
10,Ding Tea,ding tea,
11,Pizza Bella,pizza bella,
12,Aroma,aroma,
13,Golden Star,golden star,
14,Tennessee Fried Chicken,tennessee fried chicken,
15,Park&Shop,park&shop,
16,Tennessee Express,tennessee express,
17,Fortune Cookie,fortune cookie,
18,Pizza Bar,pizza bar,
19,Wham! Bam! Burrito!,wham! bam! burrito!,
20,Tandoori Nights,tandoori nights,
21,The Great British Cheesecake Company,the great british cheesecake company,
22,Shake Shack - Burgers & Shakes,shake shack - burgers & shakes,
23,Thai Square,thai square,
24,You Me Sushi,you me sushi,
25,Favorite Chicken,favorite chicken,
26,Tasty Grill,tasty grill,
27,Babago,babago,
28,Tasty African Food,tasty african food,
29,Yo!,yo!,
30,Pizza Box,pizza box,
31,Freddy's Chicken & Pizza,freddy's chicken & pizza,
32,City Pizza,city pizza,
33,My Cookie Dough,my cookie dough,
34,American Pizza,american pizza,
35,Pronto Pizza,pronto pizza,
36,Ministry of Chicken,ministry of chicken,
37,Simmons Bakers,simmons bakers,
38,Phikul,phikul,
39,The Coconut Tree,the coconut tree,
40,Ice Cream & Desserts 24/7,ice cream & desserts 24/7,
41,Hot Wok,hot wok,
42,Atlantic Fish Bar,atlantic fish bar,
43,Spice Fusion,spice fusion,
44,Golden House,golden house,
45,Pizza Point,pizza point,
46,Pizza Place,pizza place,
47,Ocean Fish Bar,ocean fish bar,
48,Chicken Village,chicken village,
49,Sunshine Cafe,sunshine cafe,
50,Yummies,yummies,
51,Burger Amour,burger amour,
52,TJ's,tj's,
53,Pizza Parlour,pizza parlour,
54,The Good Breakfast,the good breakfast,
55,Sushimania,sushimania,
56,Sundaes Gelato,sundaes gelato,
57,Little Planted Kitchen,little planted kitchen,
58,Marmaris,marmaris,
59,Poke Fuzion,poke fuzion,
60,Taste Of China,taste of china,
61,Treatz,treatz,
62,Mak Halal,mak halal,
63,Poke House 🐠,poke house 🐠,
64,Crêpeaffaire,crêpeaffaire,
65,ODEON,odeon,
66,Motu Indian Kitchen,motu indian kitchen,
67,Spice Village,spice village,
68,Lotus House,lotus house,
69,Faasos Indian Wraps,faasos indian wraps,
70,The Head of Steam,the head of steam,
71,Behrouz Biryani,behrouz biryani,
72,The Great Wall,the great wall,
73,Dragon City,dragon city,
74,PRESS Cold Pressed Juices & Cleanses,press cold pressed juices & cleanses,
75,Pizza Inn,pizza inn,
76,Haute Dolci,haute dolci,
77,Shakehouse,shakehouse,
78,PizzaExpress,pizzaexpress,
79,Peking House,peking house,
80,Roosters,roosters,
81,Leon,leon,
82,Jollibee,jollibee,
83,Taste of Lahore,taste of lahore,
84,Ali Baba,ali baba,
85,Jude's Ice Cream,jude's ice cream,
86,"Bananatree - Thai, Vietnamese Vegan","bananatree - thai, vietnamese vegan",
87,The Kitchen,the kitchen,
88,Curry King,curry king,
89,McDonald's® - High Street,mcdonald's® - high street,
90,Golden Bowl,golden bowl,
91,Spice Merchant,spice merchant,
92,The Deli,the deli,
93,Singh vs Reddy,singh vs reddy,
94,Flames Grill,flames grill,
95,Ambala,ambala,
96,King Pizza,king pizza,
97,Golden Wok,golden wok,
98,Mario's Pizza,mario's pizza,
99,Snappy Tomato Pizza,snappy tomato pizza,
100,Chicken.com,chicken.com,
101,King of Wings,king of wings,
102,Chilango,chilango,
103,Perfect Chicken,perfect chicken,
104,Tasty House,tasty house,
105,Tuk Tuk Pan Asian,tuk tuk pan asian,
106,Mimi’s Thai Kitchen,mimi’s thai kitchen,
107,Curry Garden,curry garden,
108,Spice Island,spice island,
109,Eastern Eye,eastern eye,
110,Delightful Desserts,delightful desserts,
111,Pasta Glory,pasta glory,
112,Curry Hut,curry hut,
113,Coco Di Mama Kitchens,coco di mama kitchens,
114,Just Wing It,just wing it,
115,Oriental Kitchen,oriental kitchen,
116,What’s Your Katsu - Japanese Kitchen,what’s your katsu - japanese kitchen,
117,Dog 'N' Bun,dog 'n' bun,
118,Saint Pita,saint pita,
119,Griller,griller,
120,Dragon Palace,dragon palace,
121,Turkish Grill,turkish grill,
122,Wendy's,wendy's,
123,Papa Johns Pizza,papa johns pizza,
124,Wahaca - Mexican Street Food,wahaca - mexican street food,
125,Chicken Palace,chicken palace,
126,Kebab King,kebab king,
127,Envie Louisiana Street Food,envie louisiana street food,
128,Sushi Daily,sushi daily,
129,Golden Palace,golden palace,
130,Pizza Pilgrims,pizza pilgrims,
131,Wafflemeister,wafflemeister,
132,Ice Stone Gelato,ice stone gelato,
133,Pizza Base,pizza base,
134,Pizza Planet,pizza planet,
135,Sardar Ji London Wale,sardar ji london wale,
136,Hub Box,hub box,
137,Pizza City,pizza city,
138,Curry House,curry house,
139,Groovy Island Pizza,groovy island pizza,
140,China Kitchen,china kitchen,
141,Rudy's Pizza,rudy's pizza,
142,Golden City,golden city,
143,Allpress,allpress,
144,Saucy Chicks,saucy chicks,
145,Planet Doughnut,planet doughnut,
146,Remeo Gelato Ice Cream Store,remeo gelato ice cream store,
147,Sugar Rush,sugar rush,
148,Gelato Passion,gelato passion,
149,UK Fried Chicken,uk fried chicken,
150,Peri-fection,peri-fection,
151,BOX by wagamama,box by wagamama,
152,Snack Shack,snack shack,
153,Triple Two Coffee,triple two coffee,
154,China Dragon,china dragon,
155,Kings Fish Bar,kings fish bar,
156,Hollywood Pizza,hollywood pizza,
157,Premier Express,premier express,
158,Bayleaf,bayleaf,
159,Patty&Bun,patty&bun,
160,Royal Tandoori,royal tandoori,
161,Tamarind,tamarind,
162,China Star,china star,
163,Cafe Express,cafe express,
164,Moo Lab,moo lab,
165,Burger Base,burger base,
166,Tinseltown,tinseltown,
167,Yummy,yummy,
168,Wrapchic,wrapchic,
169,The Shake Lab,the shake lab,
170,USA Chicken,usa chicken,
171,Cream Curls,cream curls,
172,Mamma Mia Pizza,mamma mia pizza,
173,Just Desserts,just desserts,
174,Luigi's,luigi's,
175,Kebab Express,kebab express,
176,Cojean,cojean,
177,Chopsticks,chopsticks,
178,Amigos,amigos,
179,Kebab World,kebab world,
180,Midnight Delivery,midnight delivery,
181,Happy Wok,happy wok,
182,Blue Ginger,blue ginger,
183,Curry Corner,curry corner,
184,Protein Pizza,protein pizza,
185,Barburrito 🌯,barburrito 🌯,
186,Chunky Buddha,chunky buddha,
187,Oriental Star,oriental star,
188,Fusion,fusion,
189,Teddy Bear Bubble Tea,teddy bear bubble tea,
190,Jasmine Garden,jasmine garden,
191,Flavours,flavours,
192,Harry Ramsden's,harry ramsden's,
193,The Best Kebab,the best kebab,
194,Sizzling Pub & Grill,sizzling pub & grill,
195,Wok Inn,wok inn,
196,Three Fat Indians,three fat indians,
197,Rajas,rajas,
198,Dessert Island,dessert island,
199,YO! - Sushi,yo! - sushi,
200,Chicken George,chicken george,
201,Shoryu,shoryu,
202,Ji The Chicken Shop,ji the chicken shop,
203,Chaaye Paani,chaaye paani,
204,Village Cafe,village cafe,
205,Maharaja,maharaja,
206,Roccos Desserts,roccos desserts,
207,Burger Plus,burger plus,
208,Steakout,steakout,
209,Farm House Pizza,farm house pizza,
210,The Kebab House,the kebab house,
211,Sweet Treats,sweet treats,
212,The Sandwich Shop,the sandwich shop,
213,Pizza 2 Go,pizza 2 go,
214,Kaspas,kaspas,
215,Oriental House,oriental house,
216,Delhi Spice,delhi spice,
217,Curry Express,curry express,
218,Oriental Garden,oriental garden,
219,Rustico Italiano,rustico italiano,
220,Two Fat Indians,two fat indians,
221,Franzos,franzos,
222,Pizza World,pizza world,
223,7Bone,7bone,
224,Bella Ciao,bella ciao,
225,Mr Cod,mr cod,
226,The Dessert Club,the dessert club,
227,Pasha,pasha,
228,Project Shawarma,project shawarma,
229,Village Pizza Vegan,village pizza vegan,
230,Royal Pizza,royal pizza,
231,Tuk Tuk,tuk tuk,
232,Pizza Village,pizza village,
233,Woody Grill,woody grill,
234,Earth Buns,earth buns,
235,Saffron Indian Takeaway,saffron indian takeaway,
236,Vegan Athenian - Greek Gyros & Souvlaki 🌱,vegan athenian - greek gyros & souvlaki 🌱,
237,Paul,paul,
238,Royal China,royal china,
239,Nirala Sweets,nirala sweets,
240,Little Farm,little farm,
241,The Red Lion,the red lion,
242,Cosy Cafe,cosy cafe,
243,Indian Cottage,indian cottage,
244,Tao Tao Ju 陶陶居,tao tao ju 陶陶居,
245,Roast Delivered,roast delivered,
246,Sweet Tooth,sweet tooth,
247,Wok U Like,wok u like,
248,Badiani Gelato,badiani gelato,
249,Pizza di Mortelli,pizza di mortelli,
250,Ohannes Burger,ohannes burger,
251,Godo,godo,
252,Mamma Mia,mamma mia,
253,Amigos Burgers and Shakes,amigos burgers and shakes,
254,Massala,massala,
255,Ping Pong,ping pong,
256,Casa Italia,casa italia,
257,Mindful Chef,mindful chef,
258,Morleys Fried Chicken,morleys fried chicken,
259,I Want Biryani (Biryani Chahiye),i want biryani (biryani chahiye),
260,Vapiano,vapiano,
261,Thai Orchid,thai orchid,
262,Gourmet 4,gourmet 4,
263,Miami Pizza,miami pizza,
264,SLAMBurger,slamburger,
265,Little Bao Boy,little bao boy,
266,Coco di Mama,coco di mama,
267,Remeo Gelato,remeo gelato,
268,Awesome Burgers,awesome burgers,
269,Acai Berry,acai berry,
270,Mr Rice Guy,mr rice guy,
271,Family Shopper,family shopper,
272,fishnchickn,fishnchickn,
273,Taste Of India,taste of india,
274,Oddono's,oddono's,
275,Istanbul Kebab House,istanbul kebab house,
276,Eat Well,eat well,
277,MEATliquor,meatliquor,
278,Spice Grill,spice grill,
279,Red Rose,red rose,
280,Mayflower,mayflower,
281,Marmaris Grill,marmaris grill,
282,All Occasions 24/7,all occasions 24/7,
283,Taste of Bengal,taste of bengal,
284,The Vapour Room,the vapour room,
285,Bring Me Wings,bring me wings,
286,The Fat Bubble,the fat bubble,
287,Alcohol Delivery,alcohol delivery,
288,BBQ Express,bbq express,
289,Kings Kebab,kings kebab,
290,Bewiched Coffee,bewiched coffee,
291,Cake Inn,cake inn,
292,Roma Pizza,roma pizza,
293,Moonlight,moonlight,
294,Twisted Slice 🍕- Pizzas. With. Attitude.,twisted slice 🍕- pizzas. with. attitude.,
295,Manjaros,manjaros,
296,Wraps Pittas & Buns,wraps pittas & buns,
297,Chesters Chicken,chesters chicken,
298,Pizza Bite,pizza bite,
299,Hot Spot,hot spot,
300,Gourmet Grill,gourmet grill,
301,Paradise Pizza,paradise pizza,
302,Go Pho,go pho,
303,Krunchy Fried Chicken,krunchy fried chicken,
304,Simply Indian,simply indian,
305,Papa's Chicken,papa's chicken,
306,Gourmet Kitchen,gourmet kitchen,
307,Indulge Desserts,indulge desserts,
308,Mikos Gyros,mikos gyros,
309,The Athenian Plant Based - Vegan Greek Gyros & Souvlaki,the athenian plant based - vegan greek gyros & souvlaki,
310,Chewy Gooey,chewy gooey,
311,Papa's Pizza,papa's pizza,
312,Basilico Pizza,basilico pizza,
313,Wraps of India,wraps of india,
314,Vegan Seeds of India,vegan seeds of india,
315,Pearls Bubble Tea,pearls bubble tea,
316,GFC Chicken Shop by LEON,gfc chicken shop by leon,
317,Pizza Paradise,pizza paradise,
318,Oree,oree,
319,Lee Garden,lee garden,
320,Dessert Heaven,dessert heaven,
321,HFC,hfc,
322,Station Cafe,station cafe,
323,Dolphin Fish Bar,dolphin fish bar,
324,Absurd Vird,absurd vird,
325,Chutneys,chutneys,
326,Mama Mia,mama mia,
327,Mister Nuggs,mister nuggs,
328,The Fish House,the fish house,
329,Chicken Shop - previously CHIK'N,chicken shop - previously chik'n,
330,Premier Store,premier store,
331,Hot & Spicy,hot & spicy,
332,Wenzels,wenzels,
333,Tim Hortons UK,tim hortons uk,
334,NISA,nisa,
335,Gourmet Sushi,gourmet sushi,
336,Afrikana,afrikana,
337,Efes,efes,
338,English Cheesecake Company,english cheesecake company,
339,Jamaica Blue,jamaica blue,
340,Village Tandoori,village tandoori,
341,Paya,paya,
342,The Hot Italian,the hot italian,
343,Roosters Spot,roosters spot,
344,Baburchi,baburchi,
345,Watta Burger,watta burger,
346,Harlequin,harlequin,
347,Spice King,spice king,
348,Fish & Chips,fish & chips,
349,Square Pizza,square pizza,
350,Burger Town,burger town,
351,Canton Chef,canton chef,
352,Oregano,oregano,
353,Curry Home,curry home,
354,Hangry Tomato,hangry tomato,
355,Curry Pot,curry pot,
356,The Athenian | Greek Gyros & Souvlaki,the athenian | greek gyros & souvlaki,
357,Fresh Fry,fresh fry,
358,Hare & Tortoise,hare & tortoise,
359,Dragon Inn,dragon inn,
360,Curry Queen,curry queen,
361,Bombay Palace,bombay palace,
362,Pizza Hut Express,pizza hut express,
363,Bao & Bubble,bao & bubble,
364,Gong Cha,gong cha,
365,The Athenian Greek Souvlaki & Gyros,the athenian greek souvlaki & gyros,
366,Mr India,mr india,
367,Pizza Top,pizza top,
368,Mega Munch,mega munch,
369,Kings Pizza,kings pizza,
370,New China,new china,
371,Yummy Pizza,yummy pizza,
372,Fresco,fresco,
373,Fresh Fitness Food To Go,fresh fitness food to go,
374,Vindaloo,vindaloo,
375,Whole Foods Market,whole foods market,
376,Bae & Betty Burgers,bae & betty burgers,
377,Mahmoods,mahmoods,
378,Poppins Restaurant,poppins restaurant,
379,The Big Fish,the big fish,
380,Kesar,kesar,
381,USA Fried Chicken,usa fried chicken,
382,Curry Lounge,curry lounge,
383,Al Forno,al forno,
384,Happy Family,happy family,
385,Indian Brasserie,indian brasserie,
386,Gordon Ramsay Street Burger,gordon ramsay street burger,
387,Golden Curry,golden curry,
388,Cafe Delight,cafe delight,
389,Warrens Bakery,warrens bakery,
390,Top Taste,top taste,
391,Archies,archies,
392,RFC,rfc,
393,Delicious,delicious,
394,Giraffe,giraffe,
395,Mac & Co.,mac & co.,
396,Posh Nosh,posh nosh,
397,Cupid's Wings,cupid's wings,
398,Sushi Shop,sushi shop,
399,Burgerholic,burgerholic,
400,Sweet Spot,sweet spot,
401,Mexicano City,mexicano city,
402,"Wraps, Pittas & Buns","wraps, pittas & buns",
403,Happy Valley,happy valley,
404,Yummy House,yummy house,
405,Pizza Factory,pizza factory,
406,New York Pizza,new york pizza,
407,Akash Tandoori,akash tandoori,
408,Grillicious,grillicious,
409,OTT Burgers,ott burgers,
410,Fat Hippo,fat hippo,
411,Green Goat,green goat,
412,Top Wok,top wok,
413,Thaikhun Thai Street Food,thaikhun thai street food,
414,Mr Burger,mr burger,
415,China Wok,china wok,
416,Mumbai Kitchen,mumbai kitchen,
417,Fish Bar,fish bar,
418,Bay Leaf,bay leaf,
419,Vegetarian Seeds of India,vegetarian seeds of india,
420,The Village Jerk,the village jerk,
421,Aksular Restaurant,aksular restaurant,
422,Shanghai Garden,shanghai garden,
423,Rhode Island Coffee,rhode island coffee,
424,Matchstick Masala,matchstick masala,
425,Wok Express,wok express,
426,Kricket,kricket,
427,Zumu Sushi,zumu sushi,
428,Tasty Plaice,tasty plaice,
429,Superfish,superfish,
430,Sam's Cafe,sam's cafe,
431,The Fat Burger & Desserts,the fat burger & desserts,
432,King Cod,king cod,
433,Lotus,lotus,
434,Dolce Desserts,dolce desserts,
435,The Olive Tree,the olive tree,
436,Bangerz 'n' Burgerz,bangerz 'n' burgerz,
437,Rice Guys,rice guys,
438,Napoli Pizzeria,napoli pizzeria,
439,It's Friyay,it's friyay,
440,Star of India,star of india,
441,It's Pizza Time,it's pizza time,
442,The Pantry,the pantry,
443,Bleecker Burger,bleecker burger,
444,Simply Thai,simply thai,
445,Prezzemolo & Vitale,prezzemolo & vitale,
446,Beijing House,beijing house,
447,Go Local Extra,go local extra,
448,Balti King,balti king,
449,Twisted London,twisted london,
450,Range Desserts,range desserts,
451,DUNKIN’ - Coffee & Donuts,dunkin’ - coffee & donuts,
452,Pizza Pronto,pizza pronto,
453,British Raj,british raj,
454,Express Kebab,express kebab,
455,Hong Kong House,hong kong house,
456,Range Vegan Desserts,range vegan desserts,
457,Golden Pizza,golden pizza,
458,Fry Inn,fry inn,
459,Family Kebab House,family kebab house,
460,La Parma Pizzeria,la parma pizzeria,
461,QFC,qfc,
462,Spicy Bites,spicy bites,
463,The Sweet Spot,the sweet spot,
464,Fire Ass Thai,fire ass thai,
465,Hungry Shack,hungry shack,
466,Pizza Napoli,pizza napoli,
467,City Spice,city spice,
468,Bamboo Garden,bamboo garden,
469,The Dessert Factory,the dessert factory,
470,Ashoka,ashoka,
471,Cakes & Bakes,cakes & bakes,
472,Shapla Tandoori,shapla tandoori,
473,Oriental City,oriental city,
474,Le Pain Quotidien Breakfast,le pain quotidien breakfast,
475,F'real Milkshakes & Smoothies 24/7,f'real milkshakes & smoothies 24/7,
476,Little Italy,little italy,
477,Corner Cafe,corner cafe,
478,Mamma Dough,mamma dough,
479,Shree Krishna Vada Pav,shree krishna vada pav,
480,Brick Lane Bagel Co,brick lane bagel co,
481,Chicken Stop,chicken stop,
482,Chicken Spot,chicken spot,
483,Chicken Shack,chicken shack,
484,PFC,pfc,
485,Sourdough Pizza by Basilico,sourdough pizza by basilico,
486,Robin Hood,robin hood,
487,Sakura,sakura,
488,Pizza Max,pizza max,
489,The Tiffin Tin - Indian Delivery,the tiffin tin - indian delivery,
490,Indie Wok,indie wok,
491,New Garden,new garden,
492,Everest Tandoori,everest tandoori,
493,Turkish Kitchen,turkish kitchen,
494,Santas Pizza,santas pizza,
495,The Pizza Room,the pizza room,
496,Doorstep Desserts,doorstep desserts,
497,Lola's Cupcakes,lola's cupcakes,
498,Turkish Kebab,turkish kebab,
499,City Kebab,city kebab,
500,Brickwood Coffee and Bread,brickwood coffee and bread,
501,Eastern Delight,eastern delight,
502,Bear Buns,bear buns,
503,Spicy Grill,spicy grill,
504,Sake Sushi,sake sushi,
505,Hoppers,hoppers,
506,Wingers,wingers,
507,Italian Express,italian express,
508,Cafe Spice,cafe spice,
509,Zorbas,zorbas,
510,Golden Fish,golden fish,
511,The Grill Hut,the grill hut,
512,Manor Fish Bar,manor fish bar,
513,Go Falafel,go falafel,
514,Balti Express,balti express,
515,Dallas Chicken & Pizza,dallas chicken & pizza,
516,Mega Bite,mega bite,
517,The Spice,the spice,
518,Rebel Vegan,rebel vegan,
519,Louie's Chicken,louie's chicken,
520,The Good Earth,the good earth,
521,Chicken House,chicken house,
522,Master Fryer,master fryer,
523,Chicken King,chicken king,
524,Veggie Pret,veggie pret,
525,Coffee and Cream,coffee and cream,
526,Phoenix,phoenix,
527,Prime Pizza,prime pizza,
528,Serial Grill,serial grill,
529,BIRD,bird,
530,Pizza Hub,pizza hub,
531,Papa Pizza,papa pizza,
532,King Fish,king fish,
533,La Dolce Vita,la dolce vita,
534,Tasty,tasty,
535,Prima Pizza,prima pizza,
536,Dirty Bones,dirty bones,
537,Shawarma Express,shawarma express,
538,DFC,dfc,
539,Giggling Squid,giggling squid,
540,Spice,spice,
541,Quality Pizza,quality pizza,
542,Big Hot Dog Energy,big hot dog energy,
543,Super Rico,super rico,
544,Blue India,blue india,
545,Oregano Leaf Pizzeria,oregano leaf pizzeria,
546,Burger Shack,burger shack,
547,Kingfish,kingfish,
548,Beijing Chef,beijing chef,
549,Oregano Pizza,oregano pizza,
550,Ruchi,ruchi,
551,Janes Pantry,janes pantry,
552,Burger Priest,burger priest,
553,Eastern Spice,eastern spice,
554,Chickanos,chickanos,
555,El Taco Loco,el taco loco,
556,Top 1 Pizza,top 1 pizza,
557,Chick-O-Land,chick-o-land,
558,Spice Tandoori,spice tandoori,
559,Vegan Middle Eastern by Yara,vegan middle eastern by yara,
560,Raj Mahal,raj mahal,
561,Preto,preto,
562,The Diner,the diner,
563,Curry Master,curry master,
564,Donna Carmen,donna carmen,
565,Super Grill,super grill,
566,Curry Mahal,curry mahal,
567,Golden Phoenix,golden phoenix,
568,Deluxe Pizza,deluxe pizza,
569,Coffee Station,coffee station,
570,Rose Cafe,rose cafe,
571,Valentino's,valentino's,
572,Zia Lucia - Genuine Pizza,zia lucia - genuine pizza,
573,Chicken Corner,chicken corner,
574,Sukhothai,sukhothai,
575,Mr. Pizza,mr. pizza,
576,Enish Nigerian Restaurant,enish nigerian restaurant,
577,Pad Thai Guy,pad thai guy,
578,Local Express,local express,
579,Elan Cafe,elan cafe,
580,Tikka Nation,tikka nation,
581,Akash,akash,
582,Players,players,
583,Kulcha Express,kulcha express,
584,Dirty Dog Shack,dirty dog shack,
585,Slice,slice,
586,Balti House,balti house,
587,Thai Rice,thai rice,
588,Crispy Chicken,crispy chicken,
589,Raja's Pizza Bar,raja's pizza bar,
590,Alaskan Ice,alaskan ice,
591,The Salad Kitchen,the salad kitchen,
592,Aroma Spice,aroma spice,
593,Nice As Pies,nice as pies,
594,Casa Mia,casa mia,
595,Amigos Burgers & Shakes,amigos burgers & shakes,
596,The Kebab Shop,the kebab shop,
597,Chilli Flames,chilli flames,
598,Phat Buns,phat buns,
599,The Rum Kitchen,the rum kitchen,
600,Sambal Express,sambal express,
601,Balti Palace,balti palace,
602,The Brothers Fish Bar,the brothers fish bar,
603,The Sushi Co,the sushi co,
604,The Brook,the brook,
605,Spice House,spice house,
606,Mumbai Spice,mumbai spice,
607,Curry Club,curry club,
608,Peri Peri Sizzlers,peri peri sizzlers,
609,Yara,yara,
610,Macellaio RC,macellaio rc,
611,Butchies Buttermilk Fried Chicken,butchies buttermilk fried chicken,
612,What the Sheesh,what the sheesh,
613,Amigos Pizza,amigos pizza,
614,Oasis Takeaway,oasis takeaway,
615,Bravo Pizza,bravo pizza,
616,Siciliano,siciliano,
617,Hard Rock Cafe,hard rock cafe,
618,Blondies Kitchen,blondies kitchen,
619,Holy Vao – Vegan Bao Buns & Bowls,holy vao – vegan bao buns & bowls,
620,Pizza Royal,pizza royal,
621,Miami Desserts,miami desserts,
622,Panda,panda,
623,Radhuni,radhuni,
624,The Burger Joint,the burger joint,
625,Carters,carters,
626,Pizza Zone,pizza zone,
627,Carluccio's - Breakfast Menu,carluccio's - breakfast menu,
628,Panda House,panda house,
629,Maxin Chicken,maxin chicken,
630,3 For 10 Pizza,3 for 10 pizza,
631,Going Greek,going greek,
632,Yak & Yeti,yak & yeti,
633,Marugame Udon,marugame udon,
634,Green Chilli,green chilli,
635,The Sandwich Bar,the sandwich bar,
636,The Japanese Canteen,the japanese canteen,
637,BrewDog Beers & Pizzas,brewdog beers & pizzas,
638,Istanbul Shawarma,istanbul shawarma,
639,Love Desserts,love desserts,
640,Wing Wah,wing wah,
641,Three Uncles,three uncles,
642,Mumbai Masala,mumbai masala,
643,Popadoms,popadoms,
644,Crosstown,crosstown,
645,Honi Sushi,honi sushi,
646,Eat of Eden,eat of eden,
647,Wok This Way,wok this way,
648,BrewDog,brewdog,
649,Hooked Fish and Chips,hooked fish and chips,
650,Hache,hache,
651,Seoul Fried Chicken,seoul fried chicken,
652,Philpotts,philpotts,
653,Andy's Fish Bar,andy's fish bar,
654,Popeyes Louisiana Kitchen,popeyes louisiana kitchen,
655,Cookies & Cream,cookies & cream,
656,Mario Pizza,mario pizza,
657,Pizza Co,pizza co,
658,Kebab Hut,kebab hut,
659,Fego,fego,
660,Golden Kitchen,golden kitchen,
661,Pizza Chef,pizza chef,
662,Burgers Gone Wild,burgers gone wild,
663,Sourdough by Basilico,sourdough by basilico,
664,Tasty Chicken,tasty chicken,
665,Hong Kong Garden,hong kong garden,
666,DOUGH&co Woodfired Pizza,dough&co woodfired pizza,
667,The Godfather,the godfather,
668,Peri Peri Chicken,peri peri chicken,
669,Eat Tokyo,eat tokyo,
670,Godfather Pizza,godfather pizza,
671,Happy Kitchen,happy kitchen,
672,Maeme's Piri Piri,maeme's piri piri,
673,Godfather,godfather,
674,Tiffins,tiffins,
675,Bushells Bakery,bushells bakery,
676,Simla Spice,simla spice,
677,Send Noods,send noods,
678,Pokaï - Your tasty POKE BOWL,pokaï - your tasty poke bowl,
679,BBQ Station,bbq station,
680,Cookies and Cones,cookies and cones,
681,Love Brownies,love brownies,
682,Nabzy's Gourmet Pizza,nabzy's gourmet pizza,
683,Hong Kong,hong kong,
684,Hong Kong Chef,hong kong chef,
685,Sunrise,sunrise,
686,Frankster's,frankster's,
687,Pizza Uno,pizza uno,
688,Sunrise Cafe,sunrise cafe,
689,Karak Chaii,karak chaii,
690,Sicilian Pizza,sicilian pizza,
691,Sabai Sabai,sabai sabai,
692,Premier Pizza,premier pizza,
693,Paw Paw,paw paw,
694,Cookie Dookie,cookie dookie,
695,Taste Of Bengal,taste of bengal,
696,Fish Inn,fish inn,
697,Grounded Kitchen,grounded kitchen,
698,Coqfighter,coqfighter,
699,Taj Mahal Indian Restaurant,taj mahal indian restaurant,
700,New Hong Kong,new hong kong,
701,Giraffe - Breakfast,giraffe - breakfast,
702,Rising Sun,rising sun,
703,Purezza - The Original Vegan Pizza,purezza - the original vegan pizza,
704,Mama Mia Pizza,mama mia pizza,
705,Snack Attack,snack attack,
706,Royal India,royal india,
707,Pizza Magic,pizza magic,
708,Burger Box,burger box,
709,Banh Mi Bay,banh mi bay,
710,Red Lantern,red lantern,
711,Sushi Circle,sushi circle,
712,Piri Fino,piri fino,
713,Saravana Bhavan,saravana bhavan,
714,Humpty's Dumplings,humpty's dumplings,
715,Kick-Ass Burrito,kick-ass burrito,
716,Planet Kebab,planet kebab,
717,Chango,chango,
718,Shake Shack – Burgers & Shakes,shake shack – burgers & shakes,
719,Shake Shack,shake shack,
720,Burger Joint,burger joint,
721,Burger Hut,burger hut,
722,Bubble Tea,bubble tea,
723,Salt & Vinegar,salt & vinegar,
724,The Coriander,the coriander,
725,Ruffled Feathers,ruffled feathers,
726,Cluk & Burger by Village,cluk & burger by village,
727,Parmesan House,parmesan house,
728,Indiano Pizza,indiano pizza,
729,Cinnamon Spice,cinnamon spice,
730,The Corner Cafe,the corner cafe,
731,Ice Scoop Gelato,ice scoop gelato,
732,Nonnos Pizza,nonnos pizza,
733,Kennedy's Fish & Chips,kennedy's fish & chips,
734,Top Pizza,top pizza,
735,Pizza Master,pizza master,
736,Royal Kebab,royal kebab,
737,Saffron Restaurant,saffron restaurant,
738,The Urban Chocolatier,the urban chocolatier,
739,Pick & Mix London,pick & mix london,
740,Pastrami Dog,pastrami dog,
741,Red Planet Pizza,red planet pizza,
742,Eagle Pizza,eagle pizza,
743,Star Fish Bar,star fish bar,
744,Doughlicious Cookie Dough,doughlicious cookie dough,
745,Farmer J,farmer j,
746,Mr Pretzels,mr pretzels,
747,Thai House,thai house,
748,Masala Lounge,masala lounge,
749,Clean Kitchen Club Vegan,clean kitchen club vegan,
750,Vegan Express,vegan express,
751,Indian Fusion,indian fusion,
752,Salt and Vinegar,salt and vinegar,
753,Cheeky Burger,cheeky burger,
754,The Curry Garden,the curry garden,
755,Yummy Yummy,yummy yummy,
756,Cheat Meals,cheat meals,
757,The Vegan Sweet Shop,the vegan sweet shop,
758,The Frying Pan,the frying pan,
759,Bunk,bunk,
760,Everest Spice,everest spice,
761,Crazy Vegan Sushi,crazy vegan sushi,
762,Shimla Spice,shimla spice,
763,Crunchy Chicken,crunchy chicken,
764,La Pizzeria,la pizzeria,
765,Burger Bar,burger bar,
766,Lebanese Grill,lebanese grill,
767,Shahs Halal Food,shahs halal food,
768,Star Grill,star grill,
769,Double Dragon,double dragon,
770,Cakes & Shakes,cakes & shakes,
771,Greenwood Pizza,greenwood pizza,
772,Indian Express,indian express,
773,Egg Free Cake Box,egg free cake box,
774,Jade House,jade house,
775,Mother Hubbard's,mother hubbard's,
